"STUDY_ID","EVENTCATEGORYNAME","EVENTNAME","startdt","SHORTTITLE","STUDYNUMBER","enddt","EVENT"
50372,"Protocol Status","Closed to Accrual","30-SEP-1994","BW256 vs high ACV vs low ACV for CMV prophylaxis","ACTG 204","31-JUL-1995","Closed to Accrual"
50372,"Protocol Status","Open","06-JAN-1993","BW256 vs high ACV vs low ACV for CMV prophylaxis","ACTG 204","30-SEP-1994","Open"
50372,"Protocol Status","Pending","21-OCT-1992","BW256 vs high ACV vs low ACV for CMV prophylaxis","ACTG 204","06-JAN-1993","Pending"
50372,"Protocol Status","In Development","10-JAN-1992","BW256 vs high ACV vs low ACV for CMV prophylaxis","ACTG 204","21-OCT-1992","In Development"
50373,"Protocol Status","Concluded","30-OCT-1998","Safety and immunogenicity of Immuno gp160","ACTG 205","","Concluded"
50373,"Protocol Status","Closed to Follow Up","23-JAN-1995","Safety and immunogenicity of Immuno gp160","ACTG 205","30-OCT-1998","Closed to Follow Up"
50373,"Protocol Status","Closed to Accrual","19-FEB-1993","Safety and immunogenicity of Immuno gp160","ACTG 205","23-JAN-1995","Closed to Accrual"
50373,"Protocol Status","Open","30-APR-1992","Safety and immunogenicity of Immuno gp160","ACTG 205","19-FEB-1993","Open"
50373,"Protocol Status","Pending","08-APR-1992","Safety and immunogenicity of Immuno gp160","ACTG 205","30-APR-1992","Pending"
50373,"Protocol Status","In Development","16-JAN-1992","Safety and immunogenicity of Immuno gp160","ACTG 205","08-APR-1992","In Development"
50374,"Protocol Status","Concluded","01-MAR-2002","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","","Concluded"
50374,"Protocol Status","POS/PAC","03-MAR-2000","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","01-MAR-2002","POS/PAC"
50374,"Protocol Status","Closed to Follow Up","29-MAY-1998","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","03-MAR-2000","Closed to Follow Up"
50374,"Protocol Status","Closed to Accrual","30-SEP-1997","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","29-MAY-1998","Closed to Accrual"
50374,"Protocol Status","Open","29-JUL-1992","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","30-SEP-1997","Open"
50374,"Protocol Status","Pending","15-JUN-1992","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","29-JUL-1992","Pending"
50374,"Protocol Status","In Development","14-JAN-1992","Two Doses of IFN-Alpha + ddI in KS","ACTG 206","15-JUN-1992","In Development"
50375,"Protocol Status","Withdrawn","30-JUN-1994","Albendazole as Tx for Microsporidiosis","ACTG 207","","Other"
50375,"Protocol Status","In Development","05-MAR-1992","Albendazole as Tx for Microsporidiosis","ACTG 207","30-JUN-1994","In Development"
50376,"Protocol Status","Concluded","01-NOV-1995","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","","Concluded"
50376,"Protocol Status","POS/PAC","09-DEC-1994","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","01-NOV-1995","POS/PAC"
50376,"Protocol Status","Closed to Follow Up","29-NOV-1994","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","09-DEC-1994","Closed to Follow Up"
50376,"Protocol Status","Closed to Accrual","31-JAN-1994","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","29-NOV-1994","Closed to Accrual"
50376,"Protocol Status","Open","14-JUL-1992","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","31-JAN-1994","Open"
50376,"Protocol Status","Pending","10-JUL-1992","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","14-JUL-1992","Pending"
50376,"Protocol Status","In Development","05-MAR-1992","Nevirapine in HIV+ Pts w/ CD4 = 500","ACTG 208","10-JUL-1992","In Development"
50377,"Protocol Status","Concluded","01-NOV-2000","PhI/II vaccine trial w/ CD4s 50-500","ACTG 209","","Concluded"
50377,"Protocol Status","Closed to Follow Up","02-MAR-1995","PhI/II vaccine trial w/ CD4s 50-500","ACTG 209","01-NOV-2000","Closed to Follow Up"
50377,"Protocol Status","POS/PAC","28-JUL-1994","PhI/II vaccine trial w/ CD4s 50-500","ACTG 209","02-MAR-1995","POS/PAC"
50377,"Protocol Status","Closed to Accrual","28-JUL-1994","PhI/II vaccine trial w/ CD4s 50-500","ACTG 209","28-JUL-1994","Closed to Accrual"
50377,"Protocol Status","Open","03-MAR-1993","PhI/II vaccine trial w/ CD4s 50-500","ACTG 209","28-JUL-1994","Open"
50378,"Protocol Status","Withdrawn","10-SEP-1992","Ro 31-8959 in HIV-infected Patients","ACTG 212","","Other"
50378,"Protocol Status","In Development","20-APR-1992","Ro 31-8959 in HIV-infected Patients","ACTG 212","10-SEP-1992","In Development"
50379,"Protocol Status","POS/PAC","30-OCT-1998","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","","POS/PAC"
50379,"Protocol Status","Concluded","01-MAR-1997","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","30-OCT-1998","Concluded"
50379,"Protocol Status","Closed to Follow Up","16-AUG-1993","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","01-MAR-1997","Closed to Follow Up"
50379,"Protocol Status","Closed to Accrual","24-FEB-1993","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","16-AUG-1993","Closed to Accrual"
50379,"Protocol Status","Open","01-DEC-1992","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","24-FEB-1993","Open"
50379,"Protocol Status","In Development","20-APR-1992","Ro 24-7429 activity, safety, tolerance in HIV inf","ACTG 213","01-DEC-1992","In Development"
50380,"Protocol Status","Concluded","01-NOV-2000","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","","Concluded"
50380,"Protocol Status","POS/PAC","28-SEP-1996","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","01-NOV-2000","POS/PAC"
50380,"Protocol Status","Closed to Follow Up","15-FEB-1996","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","28-SEP-1996","Closed to Follow Up"
50380,"Protocol Status","Closed to Accrual","18-SEP-1995","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","15-FEB-1996","Closed to Accrual"
50380,"Protocol Status","Open","09-DEC-1994","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","18-SEP-1995","Open"
50380,"Protocol Status","Temporarily Closed","06-DEC-1994","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","09-DEC-1994","Other"
50380,"Protocol Status","Open","07-OCT-1993","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","06-DEC-1994","Open"
50380,"Protocol Status","Pending","17-MAY-1993","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","07-OCT-1993","Pending"
50380,"Protocol Status","In Development","05-JUN-1992","HIV-1 Derived Immunogens in Pts w/ /=  500 CD4","ACTG 214","17-MAY-1993","In Development"
50381,"Protocol Status","Concluded","01-SEP-2000","TNP-470 for KS","ACTG 215","","Concluded"
50381,"Protocol Status","POS/PAC","02-FEB-1997","TNP-470 for KS","ACTG 215","01-SEP-2000","POS/PAC"
50381,"Protocol Status","Closed to Accrual","08-NOV-1996","TNP-470 for KS","ACTG 215","02-FEB-1997","Closed to Accrual"
50381,"Protocol Status","Closed to Follow Up","05-NOV-1996","TNP-470 for KS","ACTG 215","08-NOV-1996","Closed to Follow Up"
50381,"Protocol Status","Open","14-MAY-1993","TNP-470 for KS","ACTG 215","05-NOV-1996","Open"
50381,"Protocol Status","Pending","15-DEC-1992","TNP-470 for KS","ACTG 215","14-MAY-1993","Pending"
50381,"Protocol Status","In Development","05-JUN-1992","TNP-470 for KS","ACTG 215","15-DEC-1992","In Development"
50382,"Protocol Status","Concluded","01-JAN-1997","Chemoprevention of Anal Neoplasia","ACTG 216","","Concluded"
50382,"Protocol Status","Closed to Follow Up","16-SEP-1996","Chemoprevention of Anal Neoplasia","ACTG 216","01-JAN-1997","Closed to Follow Up"
50382,"Protocol Status","Closed to Accrual","29-JUL-1996","Chemoprevention of Anal Neoplasia","ACTG 216","16-SEP-1996","Closed to Accrual"
50382,"Protocol Status","Temporarily Closed","08-MAR-1996","Chemoprevention of Anal Neoplasia","ACTG 216","29-JUL-1996","Other"
50382,"Protocol Status","Open","06-JUL-1994","Chemoprevention of Anal Neoplasia","ACTG 216","08-MAR-1996","Open"
50382,"Protocol Status","Pending","21-DEC-1992","Chemoprevention of Anal Neoplasia","ACTG 216","06-JUL-1994","Pending"
50382,"Protocol Status","In Development","14-JUL-1992","Chemoprevention of Anal Neoplasia","ACTG 216","21-DEC-1992","In Development"
50383,"Protocol Status","Withdrawn","06-AUG-1993","Phase II Study of Ro 24-7429 + ZDV + ddCvs Ro 24-7","ACTG 217","","Other"
50383,"Protocol Status","In Development","14-JUL-1992","Phase II Study of Ro 24-7429 + ZDV + ddCvs Ro 24-7","ACTG 217","06-AUG-1993","In Development"
50384,"Protocol Status","Concluded","01-DEC-1999","DTH Reactions to Intradermal HIV Env Antigen","ACTG 221","","Concluded"
50384,"Protocol Status","POS/PAC","24-OCT-1996","DTH Reactions to Intradermal HIV Env Antigen","ACTG 221","01-DEC-1999","POS/PAC"
50384,"Protocol Status","Closed to Accrual","02-NOV-1995","DTH Reactions to Intradermal HIV Env Antigen","ACTG 221","24-OCT-1996","Closed to Accrual"
50384,"Protocol Status","Open","26-JUN-1995","DTH Reactions to Intradermal HIV Env Antigen","ACTG 221","02-NOV-1995","Open"
50384,"Protocol Status","Closed to Follow Up","27-FEB-1995","DTH Reactions to Intradermal HIV Env Antigen","ACTG 221","26-JUN-1995","Closed to Follow Up"
50385,"Protocol Status","Concluded","01-DEC-1999","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","","Concluded"
50385,"Protocol Status","Closed to Follow Up","15-SEP-1997","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","01-DEC-1999","Closed to Follow Up"
50385,"Protocol Status","POS/PAC","31-JUL-1997","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","15-SEP-1997","POS/PAC"
50385,"Protocol Status","Closed to Accrual","16-FEB-1996","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","31-JUL-1997","Closed to Accrual"
50385,"Protocol Status","Open","05-APR-1993","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","16-FEB-1996","Open"
50385,"Protocol Status","Pending","22-DEC-1992","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","05-APR-1993","Pending"
50385,"Protocol Status","In Development","14-JUL-1992","4 drug vs 4 drug + levofloxicin for TB treat","ACTG 222","22-DEC-1992","In Development"
50386,"Protocol Status","Concluded","01-NOV-2003","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","","Concluded"
50386,"Protocol Status","POS/PAC","20-JAN-1999","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","01-NOV-2003","POS/PAC"
50386,"Protocol Status","Closed to Follow Up","15-JUN-1998","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","20-JAN-1999","Closed to Follow Up"
50386,"Protocol Status","Closed to Accrual","10-JUN-1998","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","15-JUN-1998","Closed to Accrual"
50386,"Protocol Status","Open","23-NOV-1994","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","10-JUN-1998","Open"
50386,"Protocol Status","Pending","04-NOV-1993","Clarithromycin/Ethambutol vs Clari/Rif vs Clari/Ethamb/Rif","ACTG 223","23-NOV-1994","Pending"
50387,"Protocol Status","Concluded","02-NOV-2002","IL-4 for KS","ACTG 224","","Concluded"
50387,"Protocol Status","POS/PAC","27-APR-1998","IL-4 for KS","ACTG 224","02-NOV-2002","POS/PAC"
50387,"Protocol Status","Closed to Follow Up","16-OCT-1996","IL-4 for KS","ACTG 224","27-APR-1998","Closed to Follow Up"
50387,"Protocol Status","Closed to Accrual","18-APR-1996","IL-4 for KS","ACTG 224","16-OCT-1996","Closed to Accrual"
50387,"Protocol Status","Open","26-DEC-1995","IL-4 for KS","ACTG 224","18-APR-1996","Open"
50387,"Protocol Status","Temporarily Closed","10-FEB-1995","IL-4 for KS","ACTG 224","26-DEC-1995","Other"
50387,"Protocol Status","Open","26-MAR-1993","IL-4 for KS","ACTG 224","10-FEB-1995","Open"
50387,"Protocol Status","Pending","29-JAN-1993","IL-4 for KS","ACTG 224","26-MAR-1993","Pending"
50387,"Protocol Status","In Development","11-AUG-1992","IL-4 for KS","ACTG 224","29-JAN-1993","In Development"
50388,"Protocol Status","Closed to Follow Up","08-AUG-1996","CMV Retinitis Retreatment Trial","ACTG 228","","Closed to Follow Up"
50388,"Protocol Status","Concluded","01-JAN-1996","CMV Retinitis Retreatment Trial","ACTG 228","08-AUG-1996","Concluded"
50388,"Protocol Status","POS/PAC","30-SEP-1995","CMV Retinitis Retreatment Trial","ACTG 228","01-JAN-1996","POS/PAC"
50388,"Protocol Status","Closed to Accrual","06-MAR-1995","CMV Retinitis Retreatment Trial","ACTG 228","30-SEP-1995","Closed to Accrual"
50388,"Protocol Status","Open","24-JUL-1992","CMV Retinitis Retreatment Trial","ACTG 228","06-MAR-1995","Open"
50388,"Protocol Status","Pending","10-JUL-1992","CMV Retinitis Retreatment Trial","ACTG 228","24-JUL-1992","Pending"
50389,"Protocol Status","Concluded","01-JAN-1999","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","","Concluded"
50389,"Protocol Status","Closed to Follow Up","31-MAY-1994","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","01-JAN-1999","Closed to Follow Up"
50389,"Protocol Status","POS/PAC","26-MAY-1994","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","31-MAY-1994","POS/PAC"
50389,"Protocol Status","Closed to Accrual","16-JUL-1993","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","26-MAY-1994","Closed to Accrual"
50389,"Protocol Status","Open","09-MAR-1993","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","16-JUL-1993","Open"
50389,"Protocol Status","Pending","23-DEC-1992","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","09-MAR-1993","Pending"
50389,"Protocol Status","In Development","10-SEP-1992","SQV + ZDV vs. ZDV+ ddC vs. SQV + ZDV + ddC","ACTG 229","23-DEC-1992","In Development"
50390,"Protocol Status","Concluded","01-NOV-1996","ddI + Ribavirin in HIV+ Individuals","ACTG 231","","Concluded"
50390,"Protocol Status","POS/PAC","01-FEB-1995","ddI + Ribavirin in HIV+ Individuals","ACTG 231","01-NOV-1996","POS/PAC"
50390,"Protocol Status","Closed to Follow Up","22-SEP-1994","ddI + Ribavirin in HIV+ Individuals","ACTG 231","01-FEB-1995","Closed to Follow Up"
50390,"Protocol Status","Closed to Accrual","27-JUN-1994","ddI + Ribavirin in HIV+ Individuals","ACTG 231","22-SEP-1994","Closed to Accrual"
50390,"Protocol Status","Open","05-MAY-1993","ddI + Ribavirin in HIV+ Individuals","ACTG 231","27-JUN-1994","Open"
50390,"Protocol Status","Pending","04-MAR-1993","ddI + Ribavirin in HIV+ Individuals","ACTG 231","05-MAY-1993","Pending"
50390,"Protocol Status","In Development","07-OCT-1992","ddI + Ribavirin in HIV+ Individuals","ACTG 231","04-MAR-1993","In Development"
50391,"Protocol Status","Concluded","01-MAY-1998","F105 for the Treatment of HIV","ACTG 232","","Concluded"
50391,"Protocol Status","POS/PAC","15-MAR-1996","F105 for the Treatment of HIV","ACTG 232","01-MAY-1998","POS/PAC"
50391,"Protocol Status","Closed to Accrual","29-FEB-1996","F105 for the Treatment of HIV","ACTG 232","15-MAR-1996","Closed to Accrual"
50391,"Protocol Status","Open","01-DEC-1994","F105 for the Treatment of HIV","ACTG 232","29-FEB-1996","Open"
50391,"Protocol Status","Temporarily Closed","15-AUG-1994","F105 for the Treatment of HIV","ACTG 232","01-DEC-1994","Other"
50391,"Protocol Status","Closed to Follow Up","28-JUN-1994","F105 for the Treatment of HIV","ACTG 232","15-AUG-1994","Closed to Follow Up"
50391,"Protocol Status","Open","21-DEC-1993","F105 for the Treatment of HIV","ACTG 232","28-JUN-1994","Open"
50391,"Protocol Status","Pending","05-NOV-1993","F105 for the Treatment of HIV","ACTG 232","21-DEC-1993","Pending"
50391,"Protocol Status","FDA - IND Hold","25-MAY-1993","F105 for the Treatment of HIV","ACTG 232","05-NOV-1993","Other"
50391,"Protocol Status","Pending","29-APR-1993","F105 for the Treatment of HIV","ACTG 232","25-MAY-1993","Pending"
50391,"Protocol Status","In Development","07-OCT-1992","F105 for the Treatment of HIV","ACTG 232","29-APR-1993","In Development"
50392,"Protocol Status","POS/PAC","09-SEP-1996","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","","POS/PAC"
50392,"Protocol Status","Concluded","01-APR-1996","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","09-SEP-1996","Concluded"
50392,"Protocol Status","Closed to Accrual","08-MAR-1995","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","01-APR-1996","Closed to Accrual"
50392,"Protocol Status","Closed to Follow Up","15-NOV-1994","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","08-MAR-1995","Closed to Follow Up"
50392,"Protocol Status","Open","03-MAR-1993","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","15-NOV-1994","Open"
50392,"Protocol Status","In Development","16-DEC-1992","Thymosin Alpha, PEG IL-2, & ZDV or ddI for HIV","ACTG 236","03-MAR-1993","In Development"
50393,"Protocol Status","Concluded","01-MAY-2002","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","","Concluded"
50393,"Protocol Status","POS/PAC","08-APR-1998","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","01-MAY-2002","POS/PAC"
50393,"Protocol Status","Closed to Follow Up","14-OCT-1997","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","08-APR-1998","Closed to Follow Up"
50393,"Protocol Status","Closed to Accrual","18-DEC-1996","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","14-OCT-1997","Closed to Accrual"
50393,"Protocol Status","Open","03-APR-1996","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","18-DEC-1996","Open"
50393,"Protocol Status","Temporarily Closed","22-DEC-1995","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","03-APR-1996","Other"
50393,"Protocol Status","Open","18-JUL-1994","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","22-DEC-1995","Open"
50393,"Protocol Status","Pending","14-JAN-1994","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","18-JUL-1994","Pending"
50393,"Protocol Status","In Development","16-DEC-1992","Atovaquone + Pyr. vs Atovaquone + Sulfa. for toxo","ACTG 237","14-JAN-1994","In Development"
50394,"Protocol Status","Concluded","01-JAN-1999","Pilot study for MDRTB","ACTG 238","","Concluded"
50394,"Protocol Status","POS/PAC","30-OCT-1998","Pilot study for MDRTB","ACTG 238","01-JAN-1999","POS/PAC"
50394,"Protocol Status","Closed to Follow Up","02-JUL-1996","Pilot study for MDRTB","ACTG 238","30-OCT-1998","Closed to Follow Up"
50394,"Protocol Status","Closed to Accrual","05-JAN-1996","Pilot study for MDRTB","ACTG 238","02-JUL-1996","Closed to Accrual"
50394,"Protocol Status","Open","04-FEB-1994","Pilot study for MDRTB","ACTG 238","05-JAN-1996","Open"
50394,"Protocol Status","Pending","16-JUN-1993","Pilot study for MDRTB","ACTG 238","04-FEB-1994","Pending"
50394,"Protocol Status","In Development","16-DEC-1992","Pilot study for MDRTB","ACTG 238","16-JUN-1993","In Development"
50395,"Protocol Status","Concluded","20-SEP-2000","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","","Concluded"
50395,"Protocol Status","Closed to Follow Up","19-JUN-1995","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","20-SEP-2000","Closed to Follow Up"
50395,"Protocol Status","POS/PAC","17-NOV-1994","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","19-JUN-1995","POS/PAC"
50395,"Protocol Status","Closed to Accrual","22-JUL-1993","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","17-NOV-1994","Closed to Accrual"
50395,"Protocol Status","Open","10-MAY-1993","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","22-JUL-1993","Open"
50395,"Protocol Status","Pending","12-APR-1993","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","10-MAY-1993","Pending"
50395,"Protocol Status","In Development","16-DEC-1992","ZDV + ddI + NVP vs. ZDV + ddI","ACTG 241","12-APR-1993","In Development"
50396,"Protocol Status","Concluded","01-DEC-1998","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","","Concluded"
50396,"Protocol Status","Concluded","01-DEC-1998","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","01-DEC-1998","Concluded"
50396,"Protocol Status","POS/PAC","15-OCT-1997","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","01-DEC-1998","POS/PAC"
50396,"Protocol Status","Closed to Follow Up","15-JAN-1997","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","15-OCT-1997","Closed to Follow Up"
50396,"Protocol Status","Closed to Accrual","12-DEC-1996","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","15-JAN-1997","Closed to Accrual"
50396,"Protocol Status","Open","16-FEB-1994","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","12-DEC-1996","Open"
50396,"Protocol Status","Pending","24-NOV-1993","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","16-FEB-1994","Pending"
50396,"Protocol Status","In Development","08-FEB-1993","Amitriptyline vs. Mexilitine in Painful Neuropathy","ACTG 242","24-NOV-1993","In Development"
50397,"Protocol Status","Concluded","01-DEC-1999","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","","Concluded"
50397,"Protocol Status","POS/PAC","28-APR-1997","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","01-DEC-1999","POS/PAC"
50397,"Protocol Status","Closed to Follow Up","04-SEP-1996","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","28-APR-1997","Closed to Follow Up"
50397,"Protocol Status","Closed to Accrual","02-JUL-1996","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","04-SEP-1996","Closed to Accrual"
50397,"Protocol Status","Open","05-APR-1994","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","02-JUL-1996","Open"
50397,"Protocol Status","Pending","01-DEC-1993","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","05-APR-1994","Pending"
50397,"Protocol Status","In Development","08-FEB-1993","IV Ara-C + Rx vs. Intrathecal Ara-C + Rx vs. Rx","ACTG 243","01-DEC-1993","In Development"
50398,"Protocol Status","Concluded","30-OCT-1998","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","","Concluded"
50398,"Protocol Status","Closed to Follow Up","23-DEC-1996","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","30-OCT-1998","Closed to Follow Up"
50398,"Protocol Status","Closed to Accrual","21-MAR-1996","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","23-DEC-1996","Closed to Accrual"
50398,"Protocol Status","Open","14-JAN-1994","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","21-MAR-1996","Open"
50398,"Protocol Status","Pending","29-JUN-1993","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","14-JAN-1994","Pending"
50398,"Protocol Status","In Development","08-FEB-1993","AZT vs. AZT + ddI vs. AZT + ddI + Nevirapine","ACTG 244","29-JUN-1993","In Development"
50399,"Protocol Status","Concluded","10-OCT-2001","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","","Concluded"
50399,"Protocol Status","POS/PAC","13-MAY-1999","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","10-OCT-2001","POS/PAC"
50399,"Protocol Status","Closed to Follow Up","13-JAN-1998","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","13-MAY-1999","Closed to Follow Up"
50399,"Protocol Status","Closed to Accrual","05-APR-1997","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","13-JAN-1998","Closed to Accrual"
50399,"Protocol Status","Open","20-SEP-1995","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","05-APR-1997","Open"
50399,"Protocol Status","Pending","12-APR-1995","Stratum I+/vaccine, Stratum 2+-vaccine +ART","ACTG 246","20-SEP-1995","Pending"
50400,"Protocol Status","Concluded","20-APR-2004","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","","Concluded"
50400,"Protocol Status","POS/PAC","01-MAR-2002","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","20-APR-2004","POS/PAC"
50400,"Protocol Status","Closed to Follow Up","29-APR-1998","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","01-MAR-2002","Closed to Follow Up"
50400,"Protocol Status","Closed to Accrual","30-JUN-1997","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","29-APR-1998","Closed to Accrual"
50400,"Protocol Status","Open","08-SEP-1995","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","30-JUN-1997","Open"
50400,"Protocol Status","Pending","01-MAR-1995","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","08-SEP-1995","Pending"
50400,"Protocol Status","In Development","12-MAY-1993","Low-Dose IL-2 SQ + ART vs. ART Alone in Patients on Stable ART 2 Months","ACTG 248","01-MAR-1995","In Development"
50401,"Protocol Status","Concluded","01-OCT-2001","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","","Concluded"
50401,"Protocol Status","POS/PAC","30-OCT-1998","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","01-OCT-2001","POS/PAC"
50401,"Protocol Status","Closed to Follow Up","07-NOV-1997","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","30-OCT-1998","Closed to Follow Up"
50401,"Protocol Status","Closed to Accrual","04-NOV-1996","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","07-NOV-1997","Closed to Accrual"
50401,"Protocol Status","Open","03-MAR-1994","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","04-NOV-1996","Open"
50401,"Protocol Status","Pending","27-OCT-1993","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","03-MAR-1994","Pending"
50401,"Protocol Status","In Development","12-JUL-1993","Thalidomide for Oral & Esophageal Aphthous Ulcers & HIV Viremia","ACTG 251","27-OCT-1993","In Development"
